QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,source,MisconceptionAName,MisconceptionBName,MisconceptionCName,MisconceptionDName,OriginalQuestionId
eedi_73,,Round integers to the nearest 100,,"Rounding to the Nearest Whole (10, 100, etc)",B,What is \( 1456 \) rounded to the nearest \( 100 \) ?,\( 1400 \),\( 1500 \),\( 1300 \),\( 1600 \),,,,,gpt-4o-mini,Rounds incorrectly by not considering the second digit (rounds down instead of up),Rounds incorrectly by overshooting the correct midpoint,Rounds to the wrong degree of accuracy (rounds too little),Rounds incorrectly by considering the wrong place value,73
eedi_335,,Recognise and use efficient strategies for mental multiplication,,Mental Multiplication and Division,D,"Lucy and Mark are having a conversation about efficient strategies for multiplying and dividing numbers.

Lucy claims that a reliable method to multiply \( 24 \) is to multiply \( 20 \) by \( 1.2 \).

Mark argues that a solid way to divide \( 24 \) is to divide by \( 6 \), and then multiply by \( 4 \).

Who is correct?","Only
Lucy","Only
Mark",Both Lucy and Mark,Neither is correct,,,,,gpt-4o-mini,Misunderstands the scaling effect of multiplying by a decimal,Misunderstands the operational order and effects of multiplication and division,,Misunderstands the operational order and effects of multiplication and division,335
eedi_453,,Continue linear sequences expressed as patterns by drawing the next pattern,,Linear Sequences (nth term),A,"What is the next pattern in this linear sequence? ![A sequence of 4 patterns. The first pattern is a triangle made of 1 row of 1 square. The second pattern has 2 rows: the first row has 1 square, and the second row has 2 squares. The third pattern has 3 rows: the first row has 1 square, the second has 2 squares, and the third has 3 squares. The fourth pattern has 4 rows: the first row has 1 square, the second has 2 squares, the third has 3 squares, and the fourth has 4 squares.]()","![This pattern has 5 rows: the first row has 1 square, the second has 2 squares, the third has 3 squares, the fourth has 4 squares, and the fifth has 5 squares.]()","![This pattern has 6 rows: the first row has 1 square, the second has 2 squares, the third has 3 squares, the fourth has 4 squares, the fifth has 5 squares, and the sixth has 6 squares, but the squares in the last row are not aligned properly.]()","![This pattern has 5 rows: the first row has 1 square, the second has 3 squares, the third has 5 squares, the fourth has 7 squares, and the fifth has 9 squares.]()","![This pattern has 5 rows: the first row has 1 square, the second has 2 squares, the third has 3 squares, the fourth has 4 squares, and the fifth has 5 squares, but with an extra square on the bottom right.]()",,,,,gpt-4o-mini,Correctly identifies the row pattern but doesn’t count/change the total squares correctly.,Misses the correct growth pattern and misaligns squares.,Fails to recognize the systematic increase in the number of squares per row.,Recognizes some pattern but adds unnecessary extra squares in the final row.,453
eedi_447,,Substitute positive integer values into expressions involving powers or roots,,Substitution into Formula,D,"When \( r=4 \)
Which of the following pairs of statements is true?",\( \begin{array}{l} \pi r^{2}=48 \\ (2\pi r)=8\end{array} \),\( \begin{array}{l} \pi r^{2}=50.24 \\ (2\pi r)=8\end{array} \),\( \begin{array}{l} \pi r^{2}=50.24 \\ (2\pi r)=25.13\end{array} \),\( \begin{array}{l} \pi r^{2}=50.24 \\ (2\pi r)=16\end{array} \),,,,,gpt-4o-mini,Incorrectly computes the value of the area by not using \(\pi\) properly and calculates perimeter incorrectly.,Uses the incorrect approximation of \(\pi\) which leads to an incorrect area calculation.,Correctly applies formulas but miscalculates the double of the circumference.,Correctly applies formulas but confuses the values leading to a wrong value for the circumference.,447
eedi_321,,Expand two brackets with linear terms in the form (ax + b)(cx + d),,Expanding Double Brackets,A,"Jamie is expanding these two brackets.

What should she get when she multiplies the two terms indicated by the arrows? ![The two brackets are (3x+7)(4x-2). The arrows are pointing at the 3x in the first bracket and the -2 in the second bracket.]()",\( -6x \),\( +6x \),\( +12x \),\( -12x \),,,,,gpt-4o-mini,,Believes multiplying a positive by a negative gives a positive answer,Multiplies the coefficients incorrectly by summing instead of multiplying,"Misinterprets the sign in final result, fails to account for positive and negative rule properly",321
eedi_67,,Calculate the square root of a number,,"Square Roots, Cube Roots, etc",A,What is the square root of sixteen?,\( 4 \),\( 8 \),\( 64 \),\( 2 \),,,,,gpt-4o-mini,,Confuses square roots with doubling the number,Mistakenly squares the number instead of finding the square root,Misunderstands the operation and goes for a fraction instead,67
eedi_1433,,Carry out addition problems involving two negative integers,,Adding and Subtracting Negative Numbers,D,\( (-6) + (-2) = \),\( -4 \),\( 8 \),\( 12 \),\( -8 \),,,,,gpt-4o-mini,Believes that adding two negative numbers results in a less negative (or more positive) number,Believes that adding negative numbers creates a positive result,Believes that the sum of two negative numbers can exceed their absolute values,,1433
eedi_1355,,Round numbers between 0 and 1 to two significant figures,,Rounding to Decimal Places,A,"Lisa and Mark are discussing how to round numbers properly.

Lisa claims that \( \mathbf{0.002467} \) rounded to \( 2 \) significant figures is \( \mathbf{0.0025} \).

Mark argues that \( 0.002467 \) rounded to \( 2 \) decimal places is \( \mathbf{0.00} \).

Who is correct?",Only Lisa,Only Mark,Both Lisa and Mark,Neither is correct,,,,,gpt-4o-mini,Rounds to correct number of significant figures but with a misunderstanding of rounding rules.,Incorrectly believes that decimal places can lead to a value of zero regardless of the number.,Misunderstands the definition of significant figures and decimal places.,Confuses the rules of rounding for significant figures and decimal places entirely.,1355
eedi_1341,,Label angles using correct 3-letter notation (e.g. angle ADB),,"Types, Naming and Estimating",D,Which of the following angles is formed at vertex D in triangle ABC? ![An image of triangle ABC with point D on side AC. The angle highlighted is at vertex D.](),\( \angle ADB \),\( \angle DBC \),\( \angle BDA \),\( \angle ADC \),,,,,gpt-4o-mini,Uses the correct format but identifies the wrong vertex for the angle.,Gives an angle notation that includes vertex D in a non-central position.,"Uses the correct format, but does not include vertex D properly in the angle formation.",,1341
eedi_1427,,"Solve one-step linear equations requiring addition or subtraction, with all positive integers",,Linear Equations,C,Maria is trying to isolate the variable y in the equation. Here is a step from her working. She has written \(3y + 5 = 20\). What operation should replace the star to continue isolating y? ![The image shows the equation with an arrow pointing to a blank space next to it where the operation would be labelled.],\( +5 \),\( \times 5 \),\( -5 \),\( \div 3 \),,,,,gpt-4o-mini,Believes that adding 5 would help in isolating y as the next step.,"Thinks to isolate y, she needs to multiply by 5 rather than perform the inverse operation.","Correctly identifies that subtraction might be the step needed, but misunderstands the specific operation required.",,1427
eedi_98,,Given a sketch of a linear graph solve f(x) = n,,Graphical Solution of Simultaneous Equations,B,"This is a graph of
\(y=2x+1\) ![A set of axes with the graph y=2x+1 drawn on.]() Use the graph to solve
\(2x+1=5\)",\(x=1\),\(x=2\),\(x=0\),\(x=3\),,,,,gpt-4o-mini,Believes the solution to the equation is simply obtained by setting \(y=1\).,Miscalculates the equation by incorrectly simplifying \(2x=5-1\) to \(2x=6\).,"Incorrectly thinks that if \(2x + 1 = 5\), then \(x\) must be \(0\) because the constant term is \(1\).","Believes to reach the solution, one can overestimate the number of additions or multiplications necessary.",98
eedi_1369,,Assign probabilities to single events using fractions,,Probability of Single Events,D,A bag contains \( 5 \) blue marbles and \( 2 \) green marbles. What is the probability of drawing a green marble?,\( \frac{2}{5} \),\( \frac{7}{2} \),\( \frac{5}{7} \),\( \frac{2}{7} \),,,,,gpt-4o-mini,,Incorrectly represents probability by having the numerator larger than the denominator,Misunderstands the number of successes by finding the complement rather than the desired outcome,,1369
eedi_490,,Convert from mixed number fractions to improper fractions,,Converting Mixed Number and Improper Fractions,A,Convert \( 4 \frac{2}{3} \) to an improper fraction.,\( \frac{14}{3} \),\( \frac{10}{3} \),\( \frac{12}{3} \),\( \frac{17}{3} \),,,,,gpt-4o-mini,,Adds only the numerator instead of calculating the total value,Forgets to multiply the whole number by the denominator when converting from a mixed number to an improper fraction,Incorrectly sums the whole number and numerator without proper multiplication,490
eedi_484,,Calculate the volume of a cube,,Volume of 3D Shapes,B,What is the volume of a cube with side length \( 4 \) units?,\( 12 \) cubic units,\( 64 \) cubic units,\( 16 \) cubic units,\( 8 \) cubic units,,,,,gpt-4o-mini,Miscalculates volume by incorrectly adding dimensions instead of multiplying,Correctly calculates volume using the formula \( \text{side}^3 \),Mistakes the formula for the volume of a cube and uses the area formula instead,Believes that the volume of a cube is half the cube's side length multiplied by itself,484
eedi_1584,,Divide proper fractions in the form: Proper Fraction ÷ Proper Fraction,,Dividing Fractions,A,"Simplify the expression 
\(
\frac{3}{4} \div \frac{1}{2}
\)",\( \frac{3}{2} \),\( \frac{3}{8} \),\( \frac{1}{6} \),\( \frac{6}{4} \),,,,,gpt-4o-mini,"Correct understanding of dividing fractions, but mistakes the reciprocal application.",Thinks that dividing by a fraction results in a smaller fraction instead of a larger one.,May apply addition or improper fraction conversion instead of division rules.,Incorrectly believes that the result of the division remains a fraction with the same denominator.,1584
eedi_1590,,Describe simple directions to translate a shape or object using words not vectors,,Translation and Vectors,A,"If you want to move from point \( A \) to point \( B \) on a coordinate grid, which of the following movements correctly describes that transition? ![Point A and Point B are marked on a grid. B is 3 squares to the left and 4 squares down from A]()",\( 3 \) squares left \( 4 \) squares down,\( 4 \) squares right \( 3 \) squares up,\( 3 \) squares right \( 4 \) squares down,\( 4 \) squares left \( 3 \) squares down,,,,,gpt-4o-mini,,Mistakes the direction by moving the opposite of where the points actually lie on the grid.,Confuses the movement by mistakenly moving right instead of left when describing the direction.,Incorrectly identifies the second direction as going down instead of up when moving left.,1590
eedi_269,,Convert decimals less than 1 with 3 or more decimal places to percentages,,Converting between Decimals and Percentages,B,How do you write \( 0.375 \) as a percentage?,\( 3.75 \% \),\( 37.5 \% \),\( 375 \% \),\( 0.375 \% \),,,,,gpt-4o-mini,Misunderstands the role of the decimal point when converting to a percentage and incorrectly shifts it too far,,Assumes multiplying by 100 includes an additional decimal place leading to an excessively high value,Misinterprets the conversion process and applies the percentage sign without shifting the decimal appropriately,269
eedi_241,,Calculate the square root of a number,,"Square Roots, Cube Roots, etc",A,\( \sqrt{25}=? \),5,-5,0,10,,,,,gpt-4o-mini,Correct interpretation of the square root,Misunderstanding that the square root can be negative (it cannot be in real numbers),Incorrectly thinking that the square root can be zero,Miscalculating the square root as an incorrect operation,241
eedi_527,,Label angles using correct 3-letter notation (e.g. angle ADB),,"Types, Naming and Estimating",D,Which of the following correctly identifies the marked angle in the triangle? ![An image of triangle XYZ with a marked angle at vertex Y.](),XYZ,XZY,ZXY,YXZ,,,,,gpt-4o-mini,Gives the angle notation but includes all three vertices instead of the correct 3-letter notation for the angle at Y,Identifies the angle using the vertices in the wrong order,Identifies the angle using vertices but does not focus on the correct angle vertex,,527
eedi_533,,Divide algebraic fractions where the numerators and denominators are all single terms,,Multiplying and Dividing Algebraic Fractions,A,"Simplify the following expression into a single fraction:

\(
\frac{3x}{y} \div \frac{4}{xy}
\)",\( \frac{3x^2}{4} \),\( \frac{3x^2y}{4} \),\( \frac{12x^2}{y} \),\( \frac{12x}{4y} \),,,,,gpt-4o-mini,Thinks that dividing by a fraction involves multiplying the numerator and denominator by the same number.,"Confuses division of fractions with multiplication, wrongly combining terms in the numerator.",Misunderstands that division leads to reduction rather than increasing the numerator.,Fails to simplify the fraction after performing the division.,533
eedi_255,,Convert from improper fractions to mixed number fractions,,Converting Mixed Number and Improper Fractions,A,"Convert this into a mixed number fraction:
\(
\frac{25}{4}
\)",\( 6 \frac{1}{4} \),\( 5 \frac{1}{4} \),\( 7 \frac{1}{4} \),\( 4 \frac{5}{4} \),,,,,gpt-4o-mini,,Miscalculates the whole number part by underestimating the number of wholes in the fraction,Misunderstands the calculation and erroneously assumes there are more wholes than there actually are,"Believes the fractional part should be greater than or equal to the denominator, failing to recognize it should represent a proper fraction",255
eedi_1547,,Describe the meaning of algebraic terms with powers,,Writing Expressions,A,"Which of the following represents the expression 
\(3x^{3}y\) correctly in expanded form?",\(3 \times x \times x \times x \times y\),\(3 \times 3 \times x \times y\),\(3 \times x \times x \times y \times y\),\(x \times x \times x \times 3 \times y\),,,,,gpt-4o-mini,Correctly identifies the power but incorrectly states the coefficient structure.,"Conflates the coefficient with the exponent, incorrectly treating 3 as being squared.",Misapplies the exponent to both the \(x\) and the \(y\).,"Adds the coefficient and variables incorrectly, but uses the right number of \(x\) terms.",1547
eedi_1221,,Recognise cube numbers,,"Squares, Cubes, etc",A,"\[
1, 8, 27, \ldots
\]

What is the next term in this sequence of numbers?",64,50,81,100,,,,,gpt-4o-mini,Correctly identifies the pattern but doesn't know the next cube number,Incorrectly assumes the sequence follows a simple addition pattern,Mistakenly identifies the next term as a square number,Incorrectly applies a pattern for square numbers,1221
eedi_1235,,Recognise the equations of vertical lines from a diagram,,Horizontal and Vertical Lines,B,"What is the equation of the line represented by the following points: (2, 3), (2, 7), and (2, -1)? ![A coordinate grid displaying points clearly aligned in the vertical direction at x=2.]()",\( y = 2 \),\( x = 2 \),\( y = 3x \),\( x = 7 \),,,,,gpt-4o-mini,Confuses the constant y value with a horizontal line equation,,Incorrectly assumes a linear relationship between y and x,Confuses the notation for vertical and horizontal lines,1235
eedi_1553,,Find missing angles in an isosceles triangle,,Angles in Triangles,A,"In an isosceles triangle, one of the equal angles measures \( y \) degrees. If the third angle measures \( 40^\circ \), what is the value of \( y \)? ![An isosceles triangle with angles labelled y, y, and 40 degrees [not to scale]]()",\( 70^{\circ} \),\( 80^{\circ} \),\( 20^{\circ} \),Not enough information,,,,,gpt-4o-mini,Forgets to account for the third angle when calculating the equal angles in an isosceles triangle.,Incorrectly assumes that the sum of the angles does not affect the calculation of equal angles in the triangle.,Miscalculates the angles by possibly doubling the third angle or misinterpreting the sum of angles theorem.,,1553
eedi_282,,Describe the properties of a parallelogram,,Properties of Quadrilaterals,A,"In parallelogram \( W X Y Z \), which pairs of opposite sides are equal in length? ![Parallelogram with vertices labelled W, X, Y, and Z in a clockwise direction.]()",\( W X \) and \( Y Z \),\( W Z \) and \( X Y \),\( W Y \) and \( X Z \),All sides are equal,,,,,gpt-4o-mini,Does not recognize that opposite sides of a parallelogram are equal,Believes that the diagonally opposite sides of a parallelogram are equal rather than the parallel sides,Confuses sides being opposite and those being adjacent in a parallelogram,Incorrectly assumes a parallelogram is a rectangle with all sides equal,282
eedi_1209,,Identify powers of two,,Other Sequences,B,"\( 2, 4, 8, 16, 32, 64 \ldots \) What is the common name for this sequence of numbers?",The square numbers,The powers of two,The prime numbers,The Fibonacci numbers,,,,,gpt-4o-mini,Believes square numbers increase in a similar pattern to powers of two,,Thinks prime numbers are formed by doubling each previous number,Believes Fibonacci numbers follow the same exponential pattern as powers of two,1209
eedi_296,,Simplify expressions using properties of exponents,,Exponents,C,"Lisa is trying to simplify this expression using the properties of exponents.
\(
\frac{a^{5} \cdot a^{-3}}{a^{2}}
\)

What is the expression simplified to? \( a^{?} \)",\( a^{10} \),\( a^{0} \),\( a^{2} \),\( a^{8} \),,,,,gpt-4o-mini,Incorrectly applies the product rule and combines exponents inappropriately,"Assumes that any variable raised to a power of zero leads to zero, rather than acknowledging that anything raised to the power of zero is one",,Miscalculates the subtraction of exponents in the numerator or denominator,296
eedi_719,,Round integers to the nearest 1000,,"Rounding to the Nearest Whole (10, 100, etc)",B,What is \( \mathbf{4 5 6} 789 \) rounded to the nearest thousand?,\( 456000 \),\( 457000 \),\( 456800 \),\( 457500 \),,,,,gpt-4o-mini,Rounds to the wrong degree of accuracy (rounds too little),Rounds to the next thousand without checking the digit in the hundreds place,Rounds to the wrong part of the number (incorrect precision),Rounds too high (misinterprets rounding rules),719
eedi_1786,,Interpret a line graph,,Line Graphs,A,"A line graph illustrates the temperature changes over a week in Springfield. What was the highest temperature recorded on Wednesday? ![Line graph showing temperature readings from Monday to Sunday, with each day marked along the horizontal axis and temperature in degrees Celsius marked along the vertical axis. The line peaks at a certain point on Wednesday.]()",\( 28 \),\( 30 \),\( 26 \),\( 32 \),,,,,gpt-4o-mini,,"Misreads the peak on the graph, interpreting a nearby point instead of the correct highest temperature.",Considers the average temperature for the day rather than the recorded maximum.,Misinterprets the vertical scale leading to an overestimation of temperature.,1786
eedi_1792,,Calculate the area of triangles by applying the area formula,,Area,A,What is the area of this triangle? ![A triangle with a base length of 6 cm and a height of 4 cm.](),\( 12 \mathrm{~cm}^2 \),\( 24 \mathrm{~cm}^2 \),\( 10 \mathrm{~cm}^2 \),Not enough information in the diagram,,,,,gpt-4o-mini,,Multiplies base and height instead of dividing by 2,Uses incorrect formula for calculating area,Does not recognize that base and height are provided in the diagram,1792
eedi_725,,For a given output find the input of a function machine,,Function Machines,A,![Image of a function machine. The function is multiply by 2 and the output is 18]() What is the input of this function machine?,\( 9 \),\( 36 \),\( 12 \),\( 24 \),,,,,gpt-4o-mini,Thinks the inverse of multiplication is addition.,Believes multiplication is commutative and mistakenly assumes the input is double the output.,When finding the input of a function machine thinks of adding instead of applying the inverse operation of multiplication.,"Thinks that to find the input, one should simply guess a number larger than the output.",725
eedi_731,,Recognise prime numbers,,Prime Numbers,A,Which of the following numbers is a prime number?,\( 5 \),\( 6 \),\( 9 \),\( 10 \),,,,,gpt-4o-mini,,Confuses composite numbers with prime numbers,Misunderstands that an odd number is always prime,Believes that any even number is a prime number,731
eedi_1023,,Use brackets to write function machines as calculations,,BIDMAS,B,Consider a function machine ![Input \( 6 \rightarrow +4 \rightarrow \div 2 \rightarrow \) Output]() The input is \( 10 \). Which calculation provides the correct output?,\( 10 + 4 \div 2 \),\( 10 \div 2 + 4 \),\( (10 + 4) \div 2 \),\( 10 \div (2 + 4) \),,,,,gpt-4o-mini,Believes that operations can be performed in any order without following the function machine's sequence.,"Does not correctly interpret the sequence of operations in the function machine, performing them in the wrong arrangement.",Follows the operations correctly but fails to place operations in the exact sequence described by the function machine.,Confuses the operations and uses brackets incorrectly to change the order of calculations.,1023
eedi_902,,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,,Simplifying Expressions by Collecting Like Terms,D,"Simplify the expression:
\[
3x + 7 - 2x
\]",\( x + 7 \),\( 5x + 7 \),\( 3 + 7x \),\( x + 7 \),,,,,gpt-4o-mini,Incorrectly believes that only the coefficients are combined while ignoring the constant term's contribution.,"Misunderstands how to combine like terms, thinking that adding x coefficients results in addition without subtraction.",Confuses the order of operations and tries to add constants to the variable instead of collecting like terms properly.,Correct interpretation of combining terms while separating the constant.,902
eedi_1745,,Use properties of isosceles triangles to find missing lengths,,Properties of Triangles,B,"In triangle \( P Q R \), if side \( P Q \) is \( 10 \mathrm{~cm} \) and triangle \( P Q R \) is isosceles with \( P R = P Q \), find the length of \( P R \). ![A triangle with vertices labelled P, Q, R. Side PQ is 10cm, side PR is labelled with a question mark.]()",\( 5 \mathrm{~cm} \),\( 10 \mathrm{~cm} \),\( 15 \mathrm{~cm} \),\( 20 \mathrm{~cm} \),,,,,gpt-4o-mini,Misunderstands properties of isosceles triangles,,Misunderstands properties of triangle side lengths,Misunderstands properties of triangle side lengths,1745
eedi_1751,,Round numbers to an appropriate degree to estimate the answer to a calculation,,Estimation,B,"Without performing the calculations, use estimation to decide which of the following answers is the most likely to be correct
\[
648 \div 256
\]",\( 2.531 \ldots \),\( 1.910 \ldots \),\( 2.420 \ldots \),\( 3.203 \ldots \),,,,,gpt-4o-mini,Miscalculates by not considering the relative sizes of the numbers properly,Assumes too low a result by wrongly estimating the divisor,Incorrectly overestimates the dividend while underestimating the divisor,,1751
eedi_1037,,Calculate percentage of an amount mentally where the percent is an integer,,Percentages of an Amount,A,What is \( 25\% \) of \( 160 ? \),\( 40 \),\( 60 \),\( 80 \),\( 20 \),,,,,gpt-4o-mini,Incorrectly calculates \( 25\% \) as \( \frac{1}{4} \) of the whole number but applies it incorrectly.,Incorrectly sums parts of the number without calculating the percentage.,Confuses \( 25\% \) with \( 50\% \) and assumes a larger portion of the total.,Believes that \( 25\% \) is simply a fraction of the total due to misunderstanding the concept of percentage calculation.,1037
eedi_916,,Round numbers greater than 1 to one significant figure,,Rounding to Decimal Places,A,"Lisa and Mark are discussing the rounding of numbers.

Lisa claims that \( \mathbf{7 4 . 2 5} \) rounded to \( 2 \) significant figures is \( \mathbf{7 4} \).

Mark argues that \( \mathbf{7 4 . 2 5} \) rounded to \( 1 \) decimal place is \( \mathbf{7 4 . 3} \). 
Who is correct?",Only Lisa,Only Mark,Both Lisa and Mark,Neither is correct,,,,,gpt-4o-mini,Rounding to significant figures is misunderstood; one must consider the digits following the significant figures.,"When rounding to decimal places, the correct rule is misapplied, mistakenly assuming that only the first digit after the decimal affects the rounding.",Rounding logic varied for significant figures and decimal places can lead to misunderstandings in the results.,,916
eedi_1779,,Calculate the surface area of 3D shapes,,Surface Area and Volume of 3D Shapes,C,What is the surface area of this cube with a side length of \( 4 \) units?,\( 64 \) square units,\( 32 \) square units,\( 48 \) square units,\( 16 \) square units,,,,,gpt-4o-mini,Believes the surface area calculation uses the volume formula instead,Confuses the side length formula with the total surface area,Miscalculates by not accounting for all six faces properly,Incorrectly describes surface area as the area of one face only,1779
eedi_1778,,Calculate the area of a trapezium where the dimensions are given in the same units,,Area of Simple Shapes,A,"In a trapezium with parallel sides measuring \( 8 \mathrm{~cm} \) and \( 4 \mathrm{~cm} \), and the perpendicular height is \( 3 \mathrm{~cm} \), what is the area of the trapezium using the formula: Area \( = \left(\frac{a+b}{2}\right) h \)?",\( 12 \mathrm{~cm}^2 \),\( 24 \mathrm{~cm}^2 \),\( 15 \mathrm{~cm}^2 \),\( 10 \mathrm{~cm}^2 \),,,,,gpt-4o-mini,,Miscalculates the area by mistakenly multiplying the values instead of averaging the lengths of the parallel sides,Incorrectly uses the wrong formula or values leading to an inaccurate area calculation,Misunderstands the formula by neglecting to average the two bases,1778
eedi_1750,,Answer fraction problems that require the use of BIDMAS,,BIDMAS,C,\( \frac{3}{5} \div\left(\frac{1}{2}\right)^{3}= \),\( \frac{3}{10} \),\( \frac{3}{8} \),\( \frac{24}{5} \),\( \frac{3}{2} \),,,,,gpt-4o-mini,Believes dividing by a fraction results in multiplying the denominator by the numerator,Thinks the exponentiation only applies to the numerator of the fraction,"Confuses division and multiplication, thinking the result will be larger",Assumes that simplifying the expression means adding the fractions instead of performing the division,1750
eedi_917,,Rearrange formulae to change the subject where the subject appears once and three or more steps are needed,,Rearranging Formula and Equations,B,"Sarah and John are trying to solve the equation \( v=3w-12 \) for \( w \). 
Sarah proposes starting the rearrangement with \( v+12=3w \) while John suggests \( w=\frac{v-12}{3} \).
Who is correct?",Only Sarah,Only John,Both Sarah and John,Neither is correct,,,,,gpt-4o-mini,"Believes that adding to both sides allows the variable to be isolated incorrectly, neglecting the multiplication factor.",Understands correct rearrangement but may misinterpret that the equation needs to be simplified further than necessary.,"Thinks that both methods are equally valid when they are not, leading to different interpretations of \( w \).",,917
eedi_1036,,Calculate the volume of a cylinder when radius and height are provided,,Volume of Cylinders,C,"When calculating the volume of this cylinder, which of the following measurements is unnecessary? ![A cylinder with radius 4cm and height 10cm.]()",\( 4 \mathrm{~cm} \),\( 10 \mathrm{~cm} \),\( 8 \mathrm{~cm} \),\( \pi \),,,,,gpt-4o-mini,Thinks the radius is not relevant because they only consider the height for volume.,Believes height alone is sufficient for volume without considering the radius.,Incorrectly assumes another arbitrary measurement is needed rather than knowing only radius and height are crucial.,Confuses the use of \(\pi\) as being a physical measurement rather than a necessary part of the volume formula.,1036
eedi_903,,Identify or mark lines of symmetry on a shape,,Line Symmetry,C,"Which of the following shapes has at least one line of symmetry? ![A rectangle above the label ""A""; A scalene triangle above the label ""B""; An equilateral triangle above the label ""C""; A trapezium above the label ""D"".]()",A,B,C,D,,,,,gpt-4o-mini,Believes that only rectangles can have lines of symmetry,"Thinks all triangles have symmetry, but doesn't realize that scalene triangles do not",n/a,n/a,903
eedi_1022,,Identify the regions on a double Venn diagram given in words,,Venn Diagrams,A,"\( 50 \) students were surveyed about their favorite fruits. The results are shown in the Venn Diagram.

How many students like Apples? ![A Venn diagram with two circles labeled Likes Apples and Likes Bananas. The number 20 is in the Likes Apples only region, 10 is in the intersection, and 15 is in the Likes Bananas only region]()",\( 20 \),\( 10 \),\( 15 \),\( 30 \),,,,,gpt-4o-mini,Forgets to include the intersection value when asked for the total value of a set in a Venn diagram,Believes the intersection on a Venn diagram represents the total of one set,Misunderstands that the value given is the count of students liking Bananas instead,Miscalculates by adding both circles together without considering overlaps,1022
eedi_1744,,Generate an ascending quadratic sequence from the nth term rule in the form ax² + bx + c,,Quadratic Sequences,A,Calculate the first \( 2 \) terms in the sequence defined by the \( n \)th term \( 3 n^{2} - n + 2 \).,"\( 2, 11 \)","\( 5, 14 \)","\( 8, 23 \)","\( 2, 8 \)",,,,,gpt-4o-mini,Incorrectly adds the terms instead of evaluating the function at the given \( n \) values.,Miscalculates the quadratic term and fails to account for the linear and constant components correctly.,Fails to correctly substitute values for \( n \) leading to incorrect numbers; could misinterpret the operations on quadratic terms.,"Correctly evaluates the function but misunderstands that the original question asks for the first two terms, resulting in confusion about the sequence generation.",1744
eedi_730,,Determine the number of parts needed from a total considering percentages,,Percentages of an Amount,B,"If a pizza is cut into \( 10 \) equal slices, how many slices need to be eaten to consume \( 70\% \) of the pizza?",\( 5 \),\( 7 \),\( 3 \),\( 10 \),,,,,gpt-4o-mini,Misunderstands that eating 5 slices is sufficient without calculating the percentage.,"Correctly calculates 70% of the total slices, which is \( 7 \) slices.","Confuses the percentage with a smaller fraction, not realizing \( 3 \) slices only accounts for \( 30\% \).",Incorrectly assumes that eating all the slices would be required for a percentage that is less than \( 100\% \).,730
eedi_724,,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",,Reflection,B,"A rectangle is reflected in the dashed line. What are the new coordinates of point \( Q \) after the reflection? ![A set of axes: x-axis from -2 to 6, y-axis from -2 to 5. A rectangle is defined with corners at (2, 4), (4, 4), (4, 2), and (2, 2). Point (4, 4) is labelled with the letter ""Q"". The line y=3 is shown with a purple dashed line.]
()","\( (4,4) \)","\( (4,2) \)","\( (4,6) \)","\( (4,0) \)",,,,,gpt-4o-mini,Fails to reflect across mirror line,Fails to reflect across mirror line,Incorrectly calculates the new y-coordinate outside of the relevant area,"Incorrectly calculates the new y-coordinate, ignoring the extension of the reflection",724
eedi_1793,,Find the nth term rule for an ascending integer linear sequence,,Linear Sequences (nth term),A,"\[
5, 11, 17, 23, \ldots
\]

When calculating the nth-term rule of this sequence, what should replace the star? nth-term rule: \(\color{gold}\bigstar\)n  \(\square\)",\( 6 \),\( 5 \),\( 4 \),\( 5 \),,,,,gpt-4o-mini,Confuses the addition in the sequence with subtraction when identifying the rule.,"Incorrectly assumes that the first term is used directly as the coefficient, without recognizing the correct pattern.",Misunderstands that the difference between terms is constant and applies an incorrect difference.,,1793
eedi_718,,Identify factors of algebraic expressions,,Factors and Highest Common Factor,C,"Sarah and Lucas are analyzing the expression \( \mathbf{2x^2 + 8x} \). 
Sarah claims that \( 2x \) is a factor of \( 2x^2 + 8x \). 
Lucas argues that \( 4 \) is a factor of \( 2x^2 + 8x \). 
Who do you agree with?",Only Sarah,Only Lucas,Both Sarah and Lucas,Neither is correct,,,,,gpt-4o-mini,Does not realize that both numerical and variable components can be factors of expressions.,Incorrectly thinks that factors can only be numbers and not dependent on the variable part.,,Does not understand what constitutes a factor in a polynomial expression.,718
